LATITUDE,LONGITUDE
-37.908589,144.74998
-37.8152,144.9391
-37.825333,144.993298
-31.292897,118.700775
-36.36847,146.31137
-30.168258,151.692433
-33.91804,148.85725
-32.55399,137.70681
-31.87656,116.21021
-33.88952,151.278836
-31.8361,115.8396
-20.063333,148.441667
-35.18736,142.950341
-33.84761,151.12854
-35.29717,149.18635
-16.911562,145.698055
-38.05417,144.35894
-35.0952,138.55264
-20.902985,148.967471
-31.96939,115.81723
-38.17005,145.82907
-37.800139,144.997756
-27.575647,152.970239
-37.82092,144.850921
-42.41492,147.263412
-38.00157,144.4421
-37.962741,144.496096
-33.926588,151.142812
-37.8123,144.9608
-31.560731,145.884475
-31.090667,150.933667
-33.42065,151.333333
-41.050503,145.886486
-32.794991,151.852905
-33.216706,148.742782
-31.75183,115.8038
-34.821,138.6018
-38.717514,143.715747
-22.552647,120.077013
-42.949083,147.349042
-37.9867,144.3509
-33.8383,151.206852
-28.719202,153.174113
-28.797255,153.261405
-28.47334,153.24541
-28.825507,153.204667
-27.2872,152.986983
-37.73238,144.60898
-33.957962,151.220396
-31.863211,115.904877
-37.840339,145.59379
-37.81626,145.51646
-37.7752,145.48856
-34.0858,151.0077
-37.96567,144.68668
-27.961444,153.35625
-35.136224,147.346962
-33.952,151.2311
-33.9074,150.8677
-37.8113,144.9929
-37.8315,144.9479
-31.087679,122.178925
-37.980642,144.349936
-38.059358,144.368773
-33.761122,150.975583
-14.260428,129.537814
-37.817345,145.180791
-28.646817,153.482064
-27.47578,153.0103
-37.86506,144.9868
-37.82584,144.996
-35.18435,149.1329
-30.02687,148.119
-33.95793,151.2201
-27.73094,153.15514
-27.73426,153.13077
-27.99906,153.427458
-37.82149,145.175961
-27.599199,152.759657
-41.5461,146.41005
-35.98811,150.07655
-33.830286,151.028326
-34.07157,118.26172
-28.169716,153.513911
-35.649383,145.567328
-33.907025,151.205335
-38.04227,145.55247
-38.00355,145.501142
-38.090911,145.159542
-37.9867,145.1289
-33.751278,151.233639
-32.46212,116.0957
-31.457495,152.72804
-31.436696,152.897726
-33.871,151.1987
-38.06208,145.46155
-38.18848,145.39261
-38.171132,145.293918
-35.245958,149.495908
-34.133792,150.834797
-33.1815,151.44925
-33.08706,151.43377
-33.06945,151.53497
-33.232238,151.447121
-33.17539,151.39532
-29.0535,151.982356
-33.23429,151.40172
-32.0573,115.879736
-30.708911,121.236878
-38.259399,144.547567
-37.6801,145.070292
-33.758231,150.692408
-28.008876,153.295401
-37.80739,144.77991
-26.545694,153.08525
-26.631361,152.940278
-27.06644,153.170454
-35.339058,143.550929
-12.458542,130.828903
-12.439192,130.982106
-12.425094,130.864314
-25.565328,152.662164
-42.245977,147.419598
-33.885305,151.202453
-27.993938,153.42655
-10.474788,105.580697
-10.42433,105.67943
-10.422213,105.6824
-10.422797,105.682588
-10.426947,105.671766
-10.426069,105.6947
-36.43958,142.24369
-37.8171,144.994
-24.80796,142.98636
-37.762861,144.961358
-37.816631,145.225811
-37.763717,145.172406
-31.85807,115.886202
-33.921783,150.996467
-37.8274,144.9563
-41.377304,147.421683
-42.886528,147.332025
-17.37952,145.37746
-34.160925,136.061304
-28.538619,150.100777
-18.450833,140.497222
-37.6839,144.873
-12.539911,131.259375
-33.097,119.0087
-33.857847,151.074342
-31.777,117.9529
-41.432539,147.145829
-19.31461,146.72723
-16.929924,145.76564
-27.47435,153.04303
-37.81969,145.66325
-37.8226,144.93
-37.8001,144.9069
-30.36,116.2896
-37.618148,145.379522
-37.792927,144.746339
-27.50825,152.9725
-27.48431,153.0376
-27.42843,153.0458
-34.221113,150.772242
-34.227006,150.743838
-33.912324,151.206417
-33.913837,151.206
-27.581136,153.097131
-32.9639,151.6945
-33.999637,150.744167
-20.588394,116.763931
-32.76856,152.04506
-32.72099,151.93866
-32.7702,151.94145
-31.97166,115.95219
-37.560106,143.846983
-34.681006,138.856939
-16.761717,136.980286
-23.187092,118.871428
-23.192767,118.837172
-33.643707,146.972699
-31.694381,147.834351
-29.400401,153.352684
